Model,Accuracy,Precision,Recall,F1,ROC-AUC,Süre(s)
Random Forest,0.9992428544387658,1.0,0.9987944544906571,0.9993968636911942,0.9999921969303069,1.9
XGBoost,0.9990535680484574,0.9992465340566606,0.9992465340566606,0.9992465340566606,0.9999963189450095,1.9
BiLSTM,0.9973499905356805,0.9971411375263316,0.9986437613019892,0.997891883752447,0.9997919820487218,3528.1
MLP,0.9972553473405262,0.9972903808520247,0.9983423749246534,0.9978161006099857,0.9999099291857046,11.6
KNN,0.9965928449744463,0.9965392717424014,0.9980409885473177,0.9972895648245746,0.9985648486856333,3.0
Decision Tree,0.996498201779292,0.995941680444912,0.9984930681133213,0.9972157423432915,0.9946428379706957,1.1
CNN,0.9960249858035207,0.9951937518774406,0.9984930681133213,0.9968406800060178,0.9998231559831714,281.2
LSTM,0.9928071171682756,0.9947209653092006,0.9938215792646172,0.9942710688979346,0.9991042574468509,2253.5
GRU,0.9916713988264244,0.9951603145795523,0.9915611814345991,0.9933574879227053,0.9991417773667265,2003.8
Logistic Regression,0.9892106757524134,0.99096657633243,0.9918625678119349,0.991414369633981,0.9979645491397833,1.2
SVM,0.9861820935074768,0.9912201029367242,0.9867389993972272,0.9889744751548104,0.9970745965793797,131.0
Naive Bayes,0.8695816770774182,0.8315258511979824,0.9936708860759493,0.9053961279692434,0.8296229257638572,0.2
